"code","name","id","turnstopid"
"LAD|713027","А01 Хмельницького - Галицька",713027,NA
"LAD|2038454","А02 вул. Городоцька - Університет",2038454,NA
"LAD|713029","А03 ТРЦ Кінг Кросс - пл.Різні",713029,NA
"LAD|1723725","А04 Червоної Калини - пл. Різні",1723725,NA
"LAD|2136046","А05-рем Винники - пл. Різні",2136046,NA
"LAD|713033","А06 Величковського - пл.Галицька",713033,NA
"LAD|712982","А07 Грінченка - Скрипника",712982,NA
"LAD|712983","А08 пл. Теодора - Брюховичі (Івасюка)",712983,NA
"LAD|1935613","А09 Максимовича - Муроване",1935613,NA
"LAD|712985","А10 ТРЦ Кінг Кросс - Залізничний вокзал",712985,NA
"LAD|712986","А11 Червоної Калини - Величковського",712986,NA
"LAD|974381","А12 Величковського - Щурата",974381,NA
"LAD|712988","А13 Суботівська - Червоної Калини",712988,36301
"LAD|712989","А14 Червоної Калини - ТЦ Метро",712989,NA
"LAD|2136047","А15-рем Приміський вокзал - Медової Печери",2136047,NA
"LAD|712991","А16 Сихівська - Залізничний вокзал",712991,36649
"LAD|1129393","А17 Миколайчука - Протезний завод",1129393,NA
"LAD|2136048","А18-рем Дріждзавод - Залізнична поліклініка",2136048,NA
"LAD|712994","А19 Червоної Калини - Щурата",712994,NA
"LAD|712995","А20 Суботівська - Польова",712995,NA
"LAD|712996","А21 Епіцентр - Головна пошта",712996,NA
"LAD|712997","А22 пл. Теодора - Брюховичі (Під Осовою)",712997,NA
"LAD|712998","А23 Суботівська - Тракт Глинянський",712998,NA
"LAD|2136049","А24-рем Приміський вокзал - Медової Печери",2136049,NA
"LAD|713000","А25 ТРЦ Кінг Кросс - Старознесенська",713000,NA
"LAD|713001","А26 Миколайчука - Антонича",713001,NA
"LAD|713002","А27 Скнилів - Личаківська (АС-6)",713002,36618
"LAD|713003","А28 Рудно - Варшавська",713003,NA
"LAD|2136050","А29-рем Залізничний вокзал - Винники (Івасюка)",2136050,NA
"LAD|949921","А30 Величковського - Новий Львів",949921,36424
"LAD|713006","А31 Залізничний вокзал - Хмельницького",713006,NA
"LAD|713007","А32 Червоної Калини - Залізничний вокзал",713007,NA
"LAD|713008","А33 Південний - Університет",713008,NA
"LAD|713009","А34 Білогорща - Чигиринська",713009,NA
"LAD|713010","А35 Трильовського - Польова",713010,36782
"LAD|2136051","А36-рем Кропивницького -  Винники",2136051,NA
"LAD|713012","А37 Під Голоском - Хоткевича",713012,NA
"LAD|713013","А38 Університет - Пульмонологічний центр",713013,NA
"LAD|2136052","А39-рем Кривчиці - Грінченка",2136052,NA
"LAD|713015","А40 ТРЦ Кінг Кросс - Винники",713015,NA
"LAD|713016","А41 Сихівська - Хмельницького",713016,NA
"LAD|713017","А42 Червоної калини - Кропивницького",713017,NA
"LAD|713018","А43 Суботівська - Раковського",713018,NA
"LAD|1850571","А44  ТРЦ Вікторія Гарденс - Медової Печери",1850571,NA
"LAD|1850570","А45  Пулюя - Руставелі",1850570,NA
"LAD|713021","А46 Червоної Калини - Миколайчука",713021,NA
"LAD|2136053","А47-рем Червоної Калини - ТРЦ Форум Львів",2136053,NA
"LAD|1937582","А48 Аеропорт - Хмельницького",1937582,NA
"LAD|713023","А49 Приміський вокзал - Величковського",713023,NA
"LAD|2136054","А50-рем Дж.Вашингтона - Величковського",2136054,NA
"LAD|1850628","А51 ТРЦ Вікторія Гарденс - Хмельницького",1850628,NA
"LAD|1723724","А53 Червоної Калини - Хмельницького",1723724,36868
"LAD|1527114","А54 вул. Антонича - Брюховичі",1527114,36899
"LAD|1060598","А55 Варшавська - Збиранка",1060598,NA
"LAD|748664","А56 Грінченка - Великі Грибовичі",748664,NA
"LAD|994322","Нічний А01 Залізничний вокзал - пл. Різні - вул. Хмельницького",994322,NA
"LAD|994324","Нічний А02 ТЦ Метро - Залізничний вокзал - пл. Різні",994324,NA
"LAD|994323","Нічний А03 ТРЦ Кінг Кросс - Центр - Залізничний вокзал",994323,NA
"LAD|1054553","Нічний А04 Червоної Калини - Центр - Залізничний вокзал",1054553,36649
"LAD|2143336","Нічний А05-рем Залізничний вокзал - Центр - вул. Дунайська",2143336,NA
"LAD|994327","Нічний А06 Величковського - пл.Різні",994327,NA
"LAD|994328","Нічний А07 Симоненка - пл. Різні",994328,NA
"LAD|2240956","Т01-рем Трамвайне депо - Центр",2240956,NA
"LAD|2150697","Т02 Коновальця - Вернадського",2150697,NA
"LAD|1451648","Т03 Аквапарк - пл.Соборна",1451648,NA
"LAD|1718333","Т04 Академія Мистецтв - Торф'яна",1718333,NA
"LAD|1451985","Т05 Аквапарк - Торф'яна",1451985,NA
"LAD|2241030","Т06-рем Трамвайне депо - Миколайчука",2241030,NA
"LAD|2116525","Т07-рем Шевченка - Аквапарк",2116525,NA
"LAD|2150696","Т08 Вернадського - пл. Соборна",2150696,NA
"LAD|2241031","Т09-рем Трамвайне депо - Центр",2241031,NA
"LAD|1451646","Т11 Трамвайне депо - пл. Соборна",1451646,NA
"LAD|1446330","Тр02 Університет - Наукова",1446330,NA
"LAD|1446332","Тр03 Автовокзал - Ряшівська",1446332,NA
"LAD|1988980","Тр07 Університет - церква Вознесіння",1988980,NA
"LAD|2035822","Тр09 Університет - Аеропорт",2035822,NA
"LAD|1446385","Тр10 Університет - Ряшівська",1446385,NA
"LAD|1446335","Тр11 Руставелі - Сихівське кладовище",1446335,NA
"LAD|1446333","Тр12 Університет - Суботівська",1446333,NA
"LAD|1446331","Тр13 пр.Свободи - Грінченка",1446331,NA
"LAD|1446386","Тр20 Університет - Автовокзал",1446386,NA
"LAD|1446334","Тр25 Автовокзал - Червоної Калини",1446334,NA
